,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,year
69,69.3,67.32794989627966,87.16002238016682,76.09396342643134,61.93891636742959,67.43282911103812,70.50966130314066,34.44751141451457,52.173554642586744,62.65662958339257,83.52603495606179,71.17210335396562,50.580479593237904,48.92647984093321,59.25932825138549,74.88601264515627,36.579212069684075,64.85424679894554,2016-01-01
47,83.43279020236008,65.46940228063109,91.5627913238538,77.03281217460115,70.71221544323163,78.36213075969461,78.3520346127914,56.75818871126357,51.69473695066942,72.89982366595014,70.4695892583218,55.58728818524291,34.66405021915638,49.28922942199559,67.39693355165679,80.31848676649544,60.916493412452404,69.03813019170414,2017-01-01
110,58.69666572128061,67.87146185187405,87.96990823223801,72.52046457080166,72.50920363168265,80.79791355849895,78.63996298171264,65.06705352134038,52.50926182053823,76.99292370187891,75.32405016329058,55.06655599375672,57.974163281146275,54.36674576685825,73.75878392886294,78.36041342300645,56.444926349358866,69.81035126484453,2018-01-01
86,71.27380399118563,58.588639264128396,88.75099987817444,73.29392983671207,57.43857626705171,83.95871282257396,78.59493772151049,51.473530012618845,47.66285468146585,74.31879917061575,76.38111620133942,53.84201287114815,69.33508511186906,64.29400690034092,74.35655044189917,84.14159240642341,54.20736362438504,69.38959749044999,2019-01-01
75,73.13693895263549,64.65140183769134,87.5674766164942,74.16760575200102,58.94882599322517,82.2806038018736,77.667469828129,55.3801198158539,46.63747428104329,74.81250470454955,74.56393858149788,76.67981185954909,75.2544148047059,68.68041018782786,74.15896044589802,84.59854131918003,42.07933988274577,70.84495442584357,2020-01-01
