country,sdg1_wpc,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg4_primary,sdg4_schlyrs,sdg4_literacy,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg6_safesan,Population using at least basic sanitation services (%),sdg6_safewat,sdg6_water,sdg6_freshwat,sdg6_scarcew,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg9_intuse,sdg9_mobuse,sdg9_infrqual,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg10_adjgini,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg12_msw,sdg12_ewaste,sdg6_wastewat,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg13_co2pc,sdg13_co2import,sdg13_ccvm,sdg13_co2export,sdg14_cpma,sdg14_biodiv,sdg14_cleanwat,sdg14_fish,sdg14_fishstocks,sdg14_trawl,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_prison,sdg16_safe,sdg16_goveff,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg17_govex,sdg17_govspd,sdg17_govrev,sdg17_cohaven,sdg1_oecdpov,sdg3_incomeg,sdg3_region,sdg3_smoke,sdg4_pisa,sdg4_resil,sdg4_science,sdg4_socioec,sdg4_tertiary,sdg5_paygap,sdg7_ren,sdg8_empop,sdg8_yneet,sdg9_netacc,sdg9_patents,sdg9_rdres,sdg9_womensci,sdg10_elder,sdg10_palma,sdg11_rentover,sdg12_mswrecycl,sdg13_ecr,sdg17_secrecy
Sudan,17.812943535701102,25.6,38.2000007629395,16.2999992370605,,0.6848,1.042308117188555,311.0,29.4,65.1,82.0,0.087,25.74,115.82,24.6,64.1,67.196,77.7,86.0,47.783,4.1,55.4085,3.5,65.80535,64.1,73.17073170731709,33.80788639655489,30.5,,34.5861,,58.93145,93.67,0.6839835090213414,44.9,22.8496849536896,1.2135969123510686,-1.4687339231344034,0.0,15.2684326171875,12.798999786377,28.0,25.7840530295642,,2.201694,0.0,0.009318113209415902,0.29844,39.702439308166504,50.04764327,67.07882290115822,33.0,0.79,1.2,0.0,1.0820239044266289,0.5575302014811967,,,0.309100309,0.001595556628194102,0.24,168.43052946361786,87.48756195,84.07,53.54,39.13,39.23392339,2.0182941,25.0,0.0,0.94,1.1978859737476895,0.02315570421946203,6.45,49.59,71.0,,,67.3,16.0,24.9,0.027954062022541443,10.26332796309509,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Suriname,20.2657705819459,7.9,8.80000019073486,5.0,26.4,4.433,0.8600930762106508,155.0,10.6,20.0,26.0,0.413,20.88,27.65,18.7,71.6,46.6832,90.0,91.0,56.373,6.3,93.31983,8.3,97.6679,26.200000000000003,96.4705882352941,63.98222238642277,25.5,,79.2192,,94.68094,0.96,5.039381415333729,100.0,90.8332519233227,0.9433297714943284,-4.6757191920247925,80.0,,8.12399959564209,45.4,47.2885265631268,3.956483529936609,,0.0,0.03814688520832139,,,18.47176015,77.35263157894724,73.0,1.36,8.5,0.01,,-2.959407617718906,23.774844624844654,-44.165803939298364,3.634019433,0.787393741427052,0.267,0.0008005722379402274,74.24435295,96.51,77.75,27.09,29.9170083,22.5318196,51.19,49.4,0.99,0.9228793674591115,9.053555209215906,10.68,185.79,60.0,2.9541033007024153,3.064098877291775,98.9,41.0,4.1,0.0,,,19.54745056589996,0.0,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,44.8114690532582,19.6,25.5,2.0,16.5,1.1381,,389.0,21.4,70.4,398.0,5.01,25.14,121.14999999999999,24.9,58.9,78.5332,88.3,89.0,51.2,4.9,76.1555,6.8,93.5023,18.700000000000003,88.8888888888889,63.45865229153348,6.2,,58.02584,,67.62609,32.35,0.17000696644821978,65.0,35.3038728237152,,-3.238937375270909,50.0,28.5694427490234,26.3959999084473,28.5735227827685,12.5940177112914,3.836734772,,0.0,0.023080966541533084,,65.03450274467468,21.60860671,92.88238658280602,57.99999999999999,0.51,4.0,3.7,3.251642698612364,-0.11712916042327899,23.671542986975318,-43.62937842968434,0.928714992,2.7183382874899227,0.374,0.0,,,,,,,57.4,,0.82,18.380378419271484,6.162658288107183,8.16,280.5,42.0,3.2473469734,3.5753968556666664,53.5,39.0,7.3,0.0,16.30192971715454,,28.60036320028913,0.0,,,,,,,,,,,,,,,,,,,,,,,
Sweden,0.402227697978645,2.5,2.58,0.7,20.6,5.4382,0.5839188344087676,4.0,1.6,2.9,8.2,0.053,9.09,0.17,2.9,82.4,5.2738,,97.0,83.328,7.3,99.37575,12.3,,12.200000000000003,101.63934426229508,90.2064652496794,43.6,92.31084,,97.95,,2.88,7.9899705288365555,100.0,100.0,0.23274701435230313,-0.914029702426683,100.0,99.7422103881836,,89.6509476102355,123.408561882334,5.628148079,4.270132,66.26666666666667,2.0266361495305785,3.26285,27.48596966266632,6.241379908,100.0,64.0,,22.2,87.0,3.660480348255846,18.96137923848651,41.64636997669325,169.2769196859543,4.478182178,1.0321232976268906,0.034,7.340020746601073,57.630989646466,92.82,63.59,91.14,45.77,79.26052547433,58.25,61.87,0.99,12.69670217802047,10.816016362242388,1.15,56.68,75.0,4.788722991799999,5.920769691666667,100.0,84.0,0.0,3.4077932371507256,19.60492948612061,1.01,,0.0,9.2,21.099999999999994,1.8999999999999915,11.2,495.6666666666667,24.65436087518025,21.63420860405825,12.248475643712645,41.139179,13.420490928,53.2477697984376,76.85,8.2297888,23.069999999999993,66.40640253398827,14.4182396272354,30.027534664175437,11.4,0.99,9.06,1.0848985,43.83,45.475
Switzerland,0.0200484543439883,2.5,2.58,0.7,19.5,5.1326,0.6612183753401334,5.0,2.9,4.1,7.8,0.091,8.7,8.34,3.6,83.4,3.0918,100.0,94.0,86.182,7.5,93.53813,13.4,,9.299999999999997,98.51851851851853,84.79231101121621,32.5,98.98724,,95.45541,,7.37,8.37132915275443,100.0,100.0,0.5823662493183192,-0.18560985160515248,100.0,98.4296646118164,,89.1346877351392,100.556563349564,6.647141933,4.189523,74.63333333333334,2.514669879652296,2.96635,34.59773063659668,12.89019363,100.0,84.0,,26.3,97.021275,1.7012266552913966,34.43553437328969,58.395082435749664,432.4353583269211,4.311562994,0.8924415299035466,0.016,2.0861033009159384,,,,,,,35.15,59.9,0.98,1.759241766467937,26.13287295260656,0.69,78.3,85.0,5.512961769,6.553870201333333,100.0,85.0,0.0,3.3698691452949605,16.75534854635498,0.456612,,3.0,9.9,21.10000000000001,1.2999999999999972,20.4,506.3333333333333,29.069100457222476,18.454435305423214,15.60900518987593,41.235474,16.940742841,25.2919836825127,79.8,8.7071009,47.2,142.38653705371811,8.8085224935048,21.643744348736497,19.400000000000002,1.1,6.26,1.8002996999999998,28.58,76.44999999999999
Syrian Arab Republic,,,27.5,11.5,27.8,1.6147,0.879423230732099,68.0,8.9,17.5,21.0,2.015,23.9,61.22,19.7,64.5,39.5312,96.2,42.0,67.821,3.5,63.24472,5.1,92.45381,20.099999999999994,82.14285714285714,16.919501397924304,13.2,,92.94715,,96.74485,109.41,8.061988518309196,95.8432235717773,99.9900000002526,1.5592221604238417,,0.0,23.2530860900879,15.1730003356934,31.869627268866,12.842191127912,4.061744008163266,1.237654,0.0,0.014823292731871537,,,41.56628282,90.23333333333335,15.0,1.37,,48.0,,-1.4354284032185647,9.531876604501601,,1.598898459,-0.49017466546944277,0.092,,0.0,90.55,39.52,56.18,,22.015201,1.12,4.3,0.95,15.531063751177198,0.6506985871859282,2.23,59.98,32.0,3.011876867244898,4.2812785035714285,96.0,14.0,4.0,0.0,8.67661015772827,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,2.79113251111167,30.1,26.7999992370605,9.89999961853027,14.2,3.3487,0.8576575038552405,32.0,19.9,43.1,85.0,0.028,25.82,204.8,17.6,69.7,36.9168,90.3,96.0,56.544,5.8,97.73009,10.4,99.84706,37.2,85.71428571428572,62.049829450047945,19.0,,95.49214,,,71.35,1.3297493683286927,99.9897613525391,71.6863334178925,0.2546516874316734,-1.5022759614216037,50.0,47.0243949890137,10.2810001373291,20.470000000055,18.2943212846872,4.173213959,2.133333,0.0,0.005437924036437068,0.1089,38.88697326183319,50.02908375,89.45109834621293,82.0,0.89,0.8,2.25,7.858303229588489,-3.0741526734038915,3.476055557300087,-98.84687555932827,0.620466725,0.28605367953965627,0.221,,,,,,,,20.99,34.59,0.98,0.5616320411425902,1.392323382017416,1.44,122.89,88.0,4.312857914,4.374819279,88.4,21.0,10.0,0.0,10.40990475662598,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,37.6540397403037,32.3,34.7999992370605,6.59999990463257,8.4,1.5407,0.8734586548468151,398.0,21.7,56.7,287.0,1.563,17.85,94.07,33.4,61.8,116.5946,63.7,90.0,49.068,3.3,79.04483,5.8,85.75514,34.8,87.09677419354838,90.93835096674756,36.4,,23.53407,,50.14528,7.45,0.6557635046104677,15.5014495849609,1.99999809265137,1.9278439247838284,-2.687921122890752,50.0,46.7515640258789,2.21499991416931,13.0,8.93545857577244,3.587766409,2.811586,2.5,0.00970269289855912,0.52889,41.64723753929138,23.3161196,58.94300313948338,56.00000000000001,0.26,0.5,1.44,0.5454304772037016,0.36629074911494,,,0.221347372,0.19235258363644836,0.137,1.3217174876619742,43.72006096,80.94,54.55,66.68,16.38,2.7721587,53.61,35.37,0.69,7.5727828233937835,0.1939432961157734,7.01,64.34,65.0,3.8366630554000003,3.966874997,26.4,36.0,28.8,0.0,9.05925595325867,,11.865878023717883,0.0,,,,,,,,,,,,,,,,,,,,,,,
Thailand,1.46157333692686e-06,9.5,16.2999992370605,6.69999980926514,10.0,3.0318,0.9209387236782106,20.0,7.3,12.2,172.0,0.259,16.24,58.83,31.7,74.9,51.7934,99.6,99.0,68.675,5.9,89.62028,7.9,98.14663,6.799999999999997,93.90243902439025,78.27080696293943,4.8,,95.0113,,98.23114,17.49,2.890371458527628,100.0,75.8524268865585,1.4737861949923161,-0.36712266827295736,50.0,81.5940017700195,1.08299994468689,47.5049656215909,92.9040594704476,4.129854202,3.12367,28.299999999999997,0.13913754096254805,0.6272,42.09578037261963,26.35272294,83.88807286573615,70.0,1.76,6.4,12.0663,8.41278647110682,-0.6183956184554185,31.371636525455976,-30.34505057644823,4.621860032,-0.5267688220973077,0.227,35.95751891316769,,85.98,54.27,61.27,55.62693128,17.701590799999998,71.74,43.59,0.8,7.9934585515942445,2.6462044182586792,3.51,472.22,66.0,3.6592847346,3.8816998796666673,99.5,37.0,8.3,0.002953076543935969,8.13291730338363,,15.690098800781287,0.0,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,17.850420890684,26.9,50.2000007629395,11.0,3.8,2.4544,,215.0,21.6,49.7,498.0,0.143,20.65,149.35,17.6,68.3,45.6234,29.3,78.0,46.401,,80.20868,4.4,79.52868,45.4,67.9245283018868,47.56882545333314,32.3,,44.01106,,70.2233,14.27,1.164686219681562,45.3802375793457,3.56998443603516,,-4.443937509511714,80.0,,3.43099999427795,25.24624959,60.7549159711225,2.8686782875037116,,0.0,0.0065422792828085455,,32.1811705827713,18.89846158,65.97758711113511,,,4.1,0.3,1.3921040628509644,0.3841508219839355,,,0.387014002,,0.056,,21.2798220846154,,,,9.2,,38.73,,0.89,3.140373740549824,,,49.04,,2.974947057297297,2.6867362621621624,55.2,38.0,4.2,0.0,9.25030354536743,,13.882001295588159,0.0,,,,,,,,,,,,,,,,,,,,,,,
