country,sdg1_wpc,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg4_primary,sdg4_schlyrs,sdg4_literacy,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg6_safesan,Population using at least basic sanitation services (%),sdg6_safewat,sdg6_water,sdg6_freshwat,sdg6_scarcew,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg9_intuse,sdg9_mobuse,sdg9_infrqual,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg10_adjgini,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg12_msw,sdg12_ewaste,sdg6_wastewat,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg13_co2pc,sdg13_co2import,sdg13_ccvm,sdg13_co2export,sdg14_cpma,sdg14_biodiv,sdg14_cleanwat,sdg14_fish,sdg14_fishstocks,sdg14_trawl,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_prison,sdg16_safe,sdg16_goveff,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg17_govex,sdg17_govspd,sdg17_govrev,sdg17_cohaven,sdg1_oecdpov,sdg3_incomeg,sdg3_region,sdg3_smoke,sdg4_pisa,sdg4_resil,sdg4_science,sdg4_socioec,sdg4_tertiary,sdg5_paygap,sdg7_ren,sdg8_empop,sdg8_yneet,sdg9_netacc,sdg9_patents,sdg9_rdres,sdg9_womensci,sdg10_elder,sdg10_palma,sdg11_rentover,sdg12_mswrecycl,sdg13_ecr,sdg17_secrecy
Togo,44.0670132739323,11.5,27.5,6.69999980926514,8.4,1.1314,0.8853303816916851,368.0,26.0,75.7,46.0,0.944,22.41,164.97,31.9,59.9,89.6202,44.6,87.0,45.832,4.4,84.61652,4.7,84.29011,60.1,50.793650793650805,95.55362972789037,17.6,,13.94848,,62.81764,1.77,3.9144613883721586,45.7,6.31119012832642,23.741852791878173,-4.664424966998198,50.0,45.2893524169922,1.84399998188019,11.31,15.0216252842682,,2.236628,0.0,0.010031060791909522,0.27122,48.96239638328552,32.67724465,48.10984576206602,38.0,0.52,0.8,0.0,0.8166668856156836,0.7087551343951943,8.065948779182715,-76.8786499147029,0.362696892,0.1323976033242273,0.153,0.0,,88.14,28.24,34.1,,15.4486344,96.98,,0.85,6.5662900871439795,0.6826052427188384,9.14,60.54,53.0,,,78.1,32.0,27.9,0.0,10.11533691837524,,21.87802530187311,0.0,,,,,,,,,,,,,,,,,,,,,,,
Tonga,0.26844897171173,,8.10000038146973,5.19999980926514,48.2,,,124.0,6.8,16.4,8.6,0.116,24.09,,6.0,73.5,15.05,95.5,78.0,54.0,,88.24009,11.1,99.43703,44.7,99.09909909909909,60.86853580106033,3.8,,93.46756,,99.90588,,,95.2517471313477,63.4778559207916,,-3.9826466298543695,,,1.1710000038147,39.95,56.0109034558727,,,0.0,0.016803271036761824,,,4.025835246,86.16356736242892,,3.71,5.4,,6.694171760618464,-1.0461513958456736,,,1.143965892,,,0.001234265598963155,6.76222836,92.47,71.2,33.65,42.04,,11.27,,0.71,,,0.95,166.69,,,,93.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0.285144516922216,4.8,5.30000019073486,5.19999980926514,18.6,1.4809,1.3033655123695642,63.0,12.6,18.5,18.0,0.187,25.57,25.139999999999997,13.5,71.2,31.033,100.0,86.0,58.882,6.2,95.23794,10.9,,26.0,98.18181818181819,69.24881936215004,31.0,,,,,12.33,11.098404223359973,100.0,99.9900000002526,2.3539927700888246,-2.519908371797829,80.0,80.7833480834961,4.84200000762939,73.296941218486,46.7265022762538,4.331965923,2.337318,0.0,0.1356814328897068,0.0861,,14.19016577,,56.00000000000001,1.59,9.0,6.804,,-0.690677417870457,15.548742532067552,-9.347606455275418,34.16324263,-6.964955950440515,0.041,18595.685601170433,4.82805803333333,93.69,62.58,24.77,31.43,22.987617399999998,40.67,,0.82,5.001772636868387,7.0182352652036375,30.88,547.54,52.0,3.1891441821999997,4.093702316333333,96.6,41.0,0.7,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,0.6161975393254611,5.0,10.1000003814697,2.79999995231628,26.9,1.5417,1.0042105754978767,62.0,8.1,13.6,38.0,0.019,16.77,45.54,23.0,75.3,7.6404,73.6,96.0,66.523,4.1,98.56731,7.1,96.2091,12.5,85.8974358974359,34.371007069601106,31.3,,,,,94.01,6.962308595284947,99.8,99.9900000002526,1.397226884245538,-2.6021764692388816,50.0,36.906566619873,15.2419996261597,49.6,62.6784403882122,3.687209606,2.444444,12.35,0.46176317484281676,0.63168,41.27310514450073,44.79266297,96.18042465119441,44.0,0.81,5.0,33.62625,17.186794072200204,-6.672721572219085,12.886245515813762,-25.561421933616824,2.587059584,0.8856320115426084,0.066,451.27422808321745,46.2902384625,92.96,50.82,35.47,5.79,28.1140507,40.85,43.4,0.97,7.565871878340623,1.598137245987735,3.05,227.15,63.0,3.4006362914,4.2965269883333335,99.2,42.0,2.1,0.0,13.429064822054439,,21.127889655799777,0.0,,,,,,,,,,,,,,,,,,,,,,,
Turkey,0.014610779778315701,2.5,9.5,1.70000004768372,32.1,3.1054,0.7889341102954487,16.0,6.5,12.7,18.0,0.009,16.79,57.88,8.8,75.8,26.927,97.4,98.0,67.559,5.6,94.86893,7.9,99.49439,7.799999999999997,79.54545454545455,44.99187894043185,14.6,,44.2924,,,27.49,6.526051086386981,100.0,,1.2746640667938958,0.7646727845407396,50.0,68.5903091430664,,58.3477340145685,65.0677090395909,4.976790428,3.493645,40.78333333333334,0.4263761239029481,1.00561,48.35833013057709,36.40911573,98.6344262295082,56.99999999999999,,6.5,48.806952,22.373039365895515,3.142916148428886,25.190979947090902,35.217254261417885,4.491479026,0.7244241819659543,0.042,2.831644520014857,4.56193012542373,93.41,50.37,50.55,79.66992416,33.7611222,2.29,4.14,0.88,3.889075543987799,1.4710488978334761,4.3,225.34,57.99999999999999,3.4377804992500005,4.1236864723333335,98.8,40.0,5.9,0.2776155427196852,10.15071614709473,,18.324774296702945,0.0,17.2,14.399999999999999,4.8999999999999915,27.3,424.3333333333333,21.83492385963126,44.45609570555197,9.040493265380533,19.362528,6.8825910931,13.3742300375217,51.55,28.202929,,0.6153110123695554,3.61415733257957,30.7283441054294,17.0,1.91,,1.6048944,8.05,67.975
Turkmenistan,0.044356772896556595,5.5,18.8999996185303,7.19999980926514,18.6,1.0756,,42.0,22.3,51.0,60.0,0.054,34.53,111.99,17.4,66.3,24.8254,99.5,98.0,56.342,5.2,,9.9,,20.799999999999997,,68.21882360122756,25.8,,96.56707,,,162.83,6.838489956530324,100.0,99.9900000002526,3.26105284126097,3.3142155844444283,80.0,40.5764122009277,3.40100002288818,17.990324461341,13.6157882393497,,2.338384,0.0,0.000618096742382929,,,31.29449247,78.65357142857147,57.99999999999999,0.98,3.9,9.8,7.858303229588487,-3.0741526734038915,24.120542312606418,-208.17738908505862,12.51729534,1.1964558262474743,0.04,,,,,,,,14.6,13.06,0.97,4.623298402847399,3.970762801515871,4.2,583.35,78.0,,,99.6,19.0,0.3,0.0,5.0177755568933105,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,10.0,3.29999995231628,51.6,,,,17.2,25.3,207.0,,,,,,,93.1,94.0,,,87.74896,,,,,,6.7,,,,99.25774,,,98.5302200317383,29.7360301017761,,-4.598122321978004,,,,46.0091515110578,0.0,,,0.0,0.03604577813823556,,,,99.58000000000007,,,1.7,,6.694171760618464,-1.0461513958456736,,,1.008525853,,,,,91.99,71.4,85.94,4.00959904,,,,0.84,,,20.28,111.19,,,,49.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,32.002566996944296,39.0,33.7000007629395,4.80000019073486,5.3,1.9062,0.9033124730517476,343.0,21.4,53.0,201.0,2.229,21.62,152.12,27.3,62.3,110.5312,57.4,78.0,44.271,4.0,90.85496,5.7,83.65888,45.4,66.17647058823529,88.87552573497999,34.3,,19.15095,,,1.33,2.4220657574827107,20.4,1.99999809265137,,-5.5536061465578515,50.0,59.1991500854492,2.10400009155273,21.87617046,33.6937302179078,3.330399275,2.739724,37.45,0.01380882383602088,0.47505,40.98806977272034,60.30064052,56.03162883489154,43.0,0.34,0.9,0.42,0.42810035558376835,0.21918411914521824,12.464512746715137,,0.134656001,0.15779583571072175,0.084,0.002127312372841837,,,,,,,73.65,62.97,0.75,7.435553566867243,0.39299582628688623,11.84,112.03,59.0,3.4530875684,3.823199033333333,29.9,26.0,16.3,0.0,9.43600690852295,,13.486355869279565,0.0,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,0.0854709175863375,2.5,4.30000019073486,0.300000011920929,24.1,4.6524,0.6203124749247414,24.0,5.4,9.1,87.0,0.353,28.94,76.47,9.7,71.3,24.6626,99.9,19.0,62.941,4.3,92.43896,11.3,99.96976,12.799999999999997,100.0,74.51456219544873,12.3,,95.93784,,,13.91,1.9202107855167911,100.0,97.5271947681904,1.2453098820423554,-5.690653003049766,80.0,62.9023323059082,9.45499992370605,52.4818082890465,23.0085793610262,3.618416786,2.494807,14.4,0.1659524794027718,0.61742,27.845337986946106,18.87843558,83.45047039164501,64.0,,5.7,14.1267,31.705299687106475,-10.152593291861331,23.34704240163593,-6.074812204897719,5.020747064,-0.2607013323535625,0.035,312.98020233971664,46.774703805119,91.83,59.64,53.47,30.07,89.9886867,23.32,16.93,0.94,7.1666045372021605,1.7350894790228657,4.36,325.72,54.0,2.9942040444,3.273543119333333,99.8,30.0,2.4,1.6215894486463607,12.9592762825769,,19.648117516832535,0.0,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,0.023249746704539602,3.8,2.58,0.7,31.7,21.4874,1.2033547967186313,6.0,4.0,7.7,0.79,1.195,17.36,28.18,9.8,77.1,28.2274,100.0,99.0,66.068,7.0,94.5949,9.5,95.00645,26.700000000000003,121.83908045977012,44.47816072578972,22.5,93.3701,,,,2346.46,40.709510529822374,100.0,99.9900000002526,1.5049446981363388,1.658893487521952,80.0,88.2103881835938,1.71599996089935,90.6000073180483,164.893104479454,6.231951714,4.069324,34.199999999999996,0.23527414092412932,0.86559,,64.29012818,80.41,78.0,1.66,17.2,74.96,13.941273710846811,58.44900133073859,65.21020317925394,,23.30202251,2.127762817246172,0.043,42827.787397709435,20.0,90.49,69.82,56.38,29.36,5.5973188,29.94,,0.87,0.0,15.105617805445341,0.66,108.14,90.0,5.5925880432,5.857981999666666,100.0,71.0,0.0,0.31091313923328706,,1.31,,0.0,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,0.0931050439611291,2.5,2.58,0.7,27.8,7.0226,0.49497488151996805,9.0,2.6,4.3,9.9,0.095,11.03,12.54,2.9,81.2,13.5472,,92.0,77.802,7.1,99.94197,13.3,,6.599999999999994,98.50746268656717,83.41912969721798,32.0,97.6462,,95.65,,9.67,9.41279276682572,100.0,100.0,1.2250500565172986,-0.32637386535653984,100.0,96.3663177490234,,94.7758006318882,89.2348616645802,4.986065865,4.20566,92.23333333333333,1.4824291525151465,1.70304,37.653905153274536,12.41225066,100.0,71.0,,23.5,98.34552,9.713015675834864,20.203345231156373,50.88581212102669,,6.49744049,1.0186553762929158,0.045,2170.551552864909,76.4827973377911,93.27,64.22,41.11,20.47378542,71.1952042,80.2,81.57,0.79,10.282444813405666,12.848739208430757,0.92,,80.0,4.8603856086,6.257390658333333,100.0,82.0,0.0,2.0418420751415245,14.84996163775513,0.695112,,5.0,10.9,22.10000000000001,3.0,16.1,499.6666666666667,35.44032221264735,17.405312937506007,10.534972332555759,45.961441,16.839736933,8.71168557437913,74.125,13.19285,34.0,27.369001513034178,9.18191748051935,35.30460600120212,13.8,1.52,12.18,1.342471,14.59,42.35
United States,0.5165243301089031,2.5,2.09999990463257,0.5,36.2,8.1429,0.3204892660056461,14.0,3.7,6.5,3.1,0.133,13.57,7.13,10.8,79.3,20.615,98.5,92.0,72.551,7.0,92.94198,13.2,,8.700000000000003,100.0,81.6414712531562,19.4,89.49947,,99.02272,,22.61,5.456776577868807,100.0,100.0,1.2197873511695188,0.0,100.0,93.122184753418,,76.176736982841,127.001521402945,5.85104084,4.152011,92.83333333333333,1.2694326197339525,2.79385,46.079862117767334,8.441199408,99.62492597190456,60.0,,22.1,50.4365,34.889106428937644,15.364248007544234,56.36889587610278,,16.49366613,1.846491482322687,0.037,710.6414526744367,38.2515895834703,84.03,74.72,54.66,30.05461891,44.365234,31.25,29.42,0.84,12.082172172920833,6.985760722305362,4.88,675.57,72.0,5.39147501,5.7551436423333335,100.0,75.0,0.0,2.958629838193074,22.52153457003174,0.181887,,2.0,16.8,22.299999999999997,6.299999999999997,11.4,487.6666666666667,31.62349524414847,20.31460400003197,11.431935476617461,45.666355,18.142076503,8.71693586705814,70.11017,14.118049,,45.88020168177373,9.13892159988345,28.59523980213635,20.9,1.75,15.81,1.7092910000000001,0.81,59.824999999999996
Uruguay,0.0248136955460425,2.5,11.6999998092651,1.10000002384186,27.9,4.9405,0.5157492589821326,15.0,5.0,9.2,29.0,0.2,16.7,14.16,17.4,77.0,55.3776,99.9,95.0,64.977,6.3,97.23868,8.6,98.9276,8.599999999999994,106.02409638554218,75.39979402833885,20.2,63.61298,,,,3.52,1.1323847703974075,99.657085,99.2044150829315,0.4703216973564696,-0.6618604824503792,80.0,63.8680038452148,8.13099956512451,66.4,101.880687780451,3.588198185,2.794872,15.0,0.23490086834924215,0.33592,45.204490423202515,11.48844431,99.8913078087344,57.99999999999999,0.11,9.5,2.25,7.643750661084587,2.825806670272944,89.1634386506504,-223.56332581217063,1.973150822,1.293656841647452,0.061,0.0,20.6203926,94.76,58.85,41.18,37.51375138,46.8136035,20.8,2.32,0.83,17.96760321431941,4.00313130412804,8.42,291.3,48.0,3.4426276207999997,4.822837671,99.8,70.0,7.9,0.0,12.91104467263306,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,9.55426469557758,6.3,19.6000003814697,4.5,16.6,4.6131,,36.0,13.8,24.1,76.0,0.006,26.88,130.68,10.2,69.4,16.7226,100.0,99.0,60.829,6.4,96.22541,12.0,100.0,10.900000000000006,95.9349593495935,69.0909660913085,16.0,,100.0,,,138.82,0.23522179118084588,100.0,90.275602042675,1.7563552174632047,1.2317459325317692,0.0,37.0897369384766,7.17600011825562,46.7912869407806,53.4691850155159,,2.44683,0.0,0.01136522815759126,0.21354,,39.67064264,100.0,84.0,,1.5,0.0,7.858303229588488,-3.0741526734038915,19.929424770204466,-21.405373384645884,3.420722746,-0.017902134029128547,0.041,,,,,,,,16.15,10.75,0.97,1.0807355605527211,0.6648383604568676,2.99,148.97,85.0,,,99.9,22.0,,0.1658121380987525,,,17.213448952777735,0.0,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,11.889241582587,6.9,28.5,4.40000009536743,25.2,0.6125,,78.0,11.8,27.6,56.0,0.109,22.32,95.05,15.2,72.0,42.4934,89.4,53.0,39.029,,85.81599,6.8,,33.599999999999994,,77.30054578076705,0.0,,53.46829,,90.50426,0.0,,34.4694557189941,16.059821844101,,-6.118275491677946,,,5.22499990463257,24.0,22.1891849912353,,,0.0,0.049925666230279366,,37.32867240905762,8.52410314,56.17275640069875,,3.28,2.9,,6.694171760618465,-1.0461513958456736,21.65792039123559,-51.9769424176975,0.594993239,0.3097351988727885,,0.0,4.40703686111111,90.39,68.55,52.29,37.06370637,1.0199139,6.39,,0.67,0.9050883983545159,8.945254559054314,2.13,86.91,,,,43.4,43.0,15.2,0.0,9.93440495090454,,16.649805018177283,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",15.472984007155798,13.0,13.3999996185303,4.09999990463257,25.6,3.4269,1.0242492528922988,95.0,10.3,16.3,32.0,0.171,17.85,27.44,41.7,74.1,85.8336,99.5,84.0,59.972,5.1,86.68775,9.4,98.75951,12.900000000000006,107.77777777777777,64.8784247157349,22.2,,,,97.41722,2.58,3.3742231172260007,99.107795715332,97.0695165917277,1.1964310339973387,,50.0,73.4945068359375,8.06099987030029,60.0,50.5265191254776,2.511074066,2.345295,16.45,0.027081067932363156,,53.78884971141815,23.75584614,90.41566977057512,28.000000000000004,1.14,7.6,16.96,9.76942052194489,-0.6677471657038822,27.876204593128254,,6.025697582,-0.8788416230316578,0.045,8874.275104648143,54.714328528,87.34,62.85,32.92,79.63,5.0940825,66.98,85.79,0.83,2.9472986476077963,2.0923287162596127,57.15,159.65,17.0,1.5763497350000002,1.8001329899999998,80.8,18.0,7.7,0.0,12.69084519738892,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,0.919404905842488,10.7,23.2999992370605,4.40000009536743,2.1,5.448,0.7322310732687001,54.0,11.5,21.6,133.0,0.157,17.28,99.47999999999999,24.0,76.0,29.0386,93.8,96.0,61.837,5.2,97.96511,8.0,97.09167,7.700000000000003,95.1219512195122,87.74553175620208,26.7,,78.23745,,91.19177,12.79,3.181766733568647,99.2,50.9023606777191,1.1455584073383214,-0.20648017220262216,100.0,30.7957916259766,2.05299997329712,46.5,46.44123503718,3.594134331,2.695191,0.0,0.031313620165375,0.37404,35.211122035980225,28.2516555,78.35868664937425,56.00000000000001,1.46,1.3,0.2,3.2169220315219462,1.107420833249596,13.696287960163666,,1.80356575,0.2534780174570712,0.244,376.5330142552072,40.8047303461538,83.45,44.92,69.36,1.57,64.0167065,40.88,33.22,0.74,12.846319251494434,1.1144935788455297,1.52,145.8,61.0,3.4710401535999997,3.84988602,96.1,35.0,16.4,0.0,12.824238690059811,,19.069867102349104,0.0,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",85.97122672394339,28.8,46.7999992370605,16.2000007629395,17.1,0.9953,0.8370611538620747,385.0,26.8,55.3,48.0,0.023,30.91,131.3,22.8,65.7,61.816,44.7,70.0,44.814,3.3,83.08869,3.0,,39.3,45.238095238095234,8.614044357812086,0.0,,59.68268,,70.35886,227.68,16.522265638195186,72.041015625,62.145274877548204,2.2269808486669174,-14.831179712770542,0.0,6.44848203659058,13.7679996490479,24.5792083636211,5.72153354529274,2.167699575,,0.0,0.004031291376701594,,,52.8289507,75.9215861452908,40.0,,1.2,0.0,,-1.4354284032185647,8.99956622277821,,0.864834535,-0.10644432325447717,0.045,204.276113217176,30.7971931454545,89.38,65.29,43.7,0.110011001,8.2395342,31.08,7.69,0.88,0.0,0.3808491032789601,6.67,54.83,52.0,2.6698307037999998,2.8070618313333333,30.7,16.0,22.7,0.0,10.264876453084721,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Zambia,53.571184029100905,45.9,40.0,6.30000019073486,8.1,2.418,0.9014675304384585,224.0,22.9,63.4,376.0,4.099,17.25,116.9,24.7,61.8,85.9728,63.3,91.0,45.875,3.9,86.29198,6.9,88.71456,26.299999999999997,86.48648648648648,88.03687662166773,18.0,,31.11181,,61.22531,2.14,0.27939138291460835,27.9,16.0769641399384,0.2485171730614629,-3.8208793865426984,50.0,45.8632583618164,7.79199981689453,25.5065788475702,31.0785594214831,3.239676237,2.262771,0.0,0.01080681003821862,0.27819,,26.74664908,66.30508837338357,53.0,0.21,0.9,4.2,33.458480074803504,-31.75438753164066,8.118652418996117,-42.71109496905359,0.288271141,0.15725296673911787,0.201,0.8905977762237681,,,,,,,48.33,56.2,0.88,5.29856570645108,0.7695287840933642,5.85,114.48,48.0,3.5216381549999993,4.225066423666667,11.3,37.0,40.6,0.0,5.9717134012207005,,14.859731291820214,0.0,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,34.2989491460701,44.7,27.6000003814697,3.29999995231628,15.5,0.58,1.0514395598897812,443.0,22.9,56.4,208.0,4.197,18.35,95.00999999999999,45.4,60.7,105.8182,78.1,90.0,46.669,3.6,84.7939,7.7,90.42812,13.200000000000003,89.02439024390245,88.13655935418858,32.6,,38.58862,,66.5631,24.29,4.8151236651457525,32.3,31.2930047512054,1.2550948463276355,-4.078239834134196,50.0,55.2851371765137,5.15899991989136,23.11998904,41.6255499412335,2.917176962,2.213516,0.0,0.01845159879388462,0.0,43.13386082649231,22.86952366,71.00091793938282,69.0,0.53,0.3,10.4,7.483736678785285,-2.2209766696585276,,,0.779955845,0.3310717503277213,0.166,4.8898569934356555,,,,,,,85.88,79.03,0.79,11.644807382016666,1.1340089997522553,6.74,120.86,52.0,2.6093067884,2.827830791666667,43.5,22.0,,0.0,14.86880106213135,,21.4324683036341,0.0,,,,,,,,,,,,,,,,,,,,,,,
