,country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
0,Denmark,1,98.78310722585425,79.3960372213644,91.17701948700153,76.69276088952468,77.3561201105861,75.77710971456735,84.07296174032736,81.25884645970284,64.4473550050637,96.07519270120729,75.0085361299531,53.47167247891089,74.46115623343348,56.89498862999837,94.03459055478801,90.86504166497302,68.68215336396234,78.2168578158893,HI,nor_eu
1,Finland,2,95.71277356888314,71.91327441761146,90.1239639786239,85.88887577762888,73.56847568444353,74.64270908493008,87.94037236937322,76.20863875067793,64.99413375118229,94.53835644603463,87.27219127815815,54.12680832055066,61.9053386567302,67.85283863583616,86.09327367716922,94.34651141430562,60.22282331185411,77.89527076656289,HI,nor_eu
2,Czech Republic,3,95.17498706634257,72.62261165718327,83.82043627077992,60.566611259910005,63.76546715963208,70.22036769135738,77.8023967711429,72.87848766889445,52.899542767815554,94.07900479734622,81.34268519808506,67.18668343078672,53.39896852824597,59.56526372288118,94.31738903301891,77.10390735288257,50.76383186579307,71.06663166165673,HI,east_eu
3,Iceland,4,94.84949102494281,74.79280788703524,93.9142127402875,71.86964651770971,78.2234723102451,65.05753297698683,99.74189298247502,88.92777052153973,52.3655588589619,96.3189052042526,73.82406332143853,52.85219635654009,58.55544181441589,36.59048938900451,63.24205805909819,91.54370768050225,53.32197907944287,73.10451435700016,HI,nor_eu
4,Netherlands,5,89.16294984991012,74.18493528621998,89.7556169242023,74.0050227542606,71.28066963409509,81.61126843900021,74.6009646250696,83.42889436798396,60.2253808318847,90.30881796299445,84.85698978007142,52.479132134005724,75.27642921933325,45.33786911055305,92.4292498532255,89.19558667076414,40.14631591344691,74.72836002519375,HI,wes_eu
5,Luxembourg,6,88.40211820799476,71.91778700411331,90.93938287035614,61.0820441460585,75.13848241643481,77.65118038365131,65.03946609373202,78.39557093745276,49.319305287460594,90.83327260015896,79.98581520449497,31.538691434060688,51.33702249822214,47.58485147414793,75.31120920834444,92.72396080640571,45.503129553478786,69.30653476000674,HI,wes_eu
6,France,7,88.37099271969328,78.66080374145622,87.22725792688328,63.75379152252958,76.70954580680521,70.46033271755145,78.13836414389226,68.64556150093766,60.30184361364275,88.9581829617048,81.89629561536961,55.51364663778905,56.03911511405348,65.9253275074595,85.90620188230153,81.3018546452318,61.4626525661532,73.0925450497046,HI,wes_eu
7,Norway,8,88.29615776890836,68.76405169784753,93.32406366999254,78.80920959290307,79.67814595693073,66.90075743176958,93.1747134228138,78.36557304371978,56.1177603921987,95.4841858166543,82.75430609630604,43.750260607366144,61.54986534342761,69.73671876258508,78.08907103558087,89.50071641918056,70.22514782982242,75.78372098661296,HI,nor_eu
8,Slovak Republic,9,86.63829666306778,76.11095919230681,82.56193616264834,52.92500208297718,65.28630114106325,62.76757231622073,77.42863834377381,66.78893490362937,46.24353241919841,93.10791625700982,84.69961696521005,65.98258218983116,56.45914126662352,60.700909940423855,89.84481443837554,73.95564560175609,50.838437865153644,68.73768172326614,HI,east_eu
9,Austria,10,85.84699637348263,80.22169202258574,86.55684117052493,65.58469875365726,66.23026354994442,80.06416081500224,84.51729458666465,78.421627223491,59.225419286623655,88.52826032040946,88.52238828467897,49.071290692348725,59.57276041500707,59.30010688500216,80.93907512792137,87.83093123191716,57.192202599757834,73.67280018505485,HI,wes_eu
