,countryname,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
23,Bulgaria,24,85.23097607683079,69.89446701360836,74.35926225936778,55.50401323179917,59.596735434453464,61.88340511458458,71.07908601519554,45.79853656850586,34.180080472269815,62.28260255286531,65.6311382765988,61.48778151721418,43.64849456901643,74.76729880984274,96.07544861688423,63.669687702481596,32.76531072680817,62.004254832330396,UMI,east_eu
24,United Arab Emirates,25,83.82,54.35331981563385,82.05382485507855,60.29391251613285,59.376840575727314,95.54432545771408,76.90299616722375,55.59124636576613,57.899338104422505,68.78953719230451,69.36402873021133,68.55481857620323,30.57039951212841,67.3261153009006,64.69527304615833,86.67938159033163,42.95921299672238,67.21612074927376,HI,west_as
25,Poland,26,82.5,68.24319847356428,79.6692023330094,64.71315077107293,60.10885123752687,65.16440967104313,72.61829678570315,48.574252131083995,36.39318517474177,71.16372664206176,62.8747674663828,80.70921290314357,43.00288575921144,44.37798126674504,77.10385144667612,71.13710176659443,32.516173230987455,62.52885199611052,HI,east_eu
26,Portugal,27,82.5,64.7351826993268,84.21067642807353,70.3573074943378,54.6152192475726,67.07678151012762,72.19902378169303,51.625315633238365,46.453804188094814,63.82153674451036,77.82789903044197,59.619578730936574,47.08228971783425,58.05504933680087,60.77557011108473,74.77372545812042,35.446702291579925,64.51570897104371,HI,sou_eu
27,Croatia,28,81.17999999999999,71.87366153236819,80.2834259134674,61.1219281202523,56.55153816646,65.6394523053989,68.89918826538317,38.732632670983605,39.68363518280149,63.583674431298824,66.82297536812239,54.902330238580646,46.979143976466155,66.72250569539908,71.0829068618571,68.03964154270595,31.15215056963885,61.6921554878792,UMI,sou_eu
28,Belarus,29,80.52,66.71693926201813,79.23239392407612,61.28460084441369,54.46560625184266,64.73720931415176,69.98895397769209,40.813444532474165,32.48753503148687,70.35892768122305,65.43606628431193,77.59999867509993,43.6843528520228,60.77772177740977,63.585162784955514,60.97325599315028,37.121220359212174,60.531627223427556,UMI,east_eu
29,Serbia,30,79.79945694784213,74.21618878069002,74.85975629914014,58.368588743029534,65.84726802641977,65.18934192536513,61.39073268134571,35.27693209702672,30.30453522443957,66.89135838081734,62.9544607678734,51.75327913109993,43.55316521554503,57.207418576695225,64.27759742393035,63.40461021240741,34.23539816999681,58.707873512090266,UMI,sou_eu
30,"Egypt, Arab Rep.",31,79.27636497954381,61.35836338821621,69.03680771298933,54.85358467180463,33.22836232832982,66.66211706535704,67.79644216810247,36.43359381299414,23.767846447091095,61.79961175138579,53.64254031022667,63.89711856166756,56.48792347084777,53.62437912854616,74.09351374647156,71.25233481746257,21.125142737882193,55.32175903573153,LMI,north_af
31,Canada,32,79.2,74.64642777049892,87.49497653372838,78.46819151318304,50.51067173380788,66.81769298526366,74.11581110289474,64.00103316739556,57.84839614800417,77.70314584855011,96.47575889517675,62.90081155427871,36.47749583442453,60.39348096866136,63.93475618687131,89.481476967505,41.311098043005636,70.62113775279978,HI,north_am
32,Estonia,33,79.2,71.06806197713065,79.85514143923515,73.99878349955026,54.7823497746446,65.90650339893776,73.87072065438016,55.566758863275346,52.03080458807904,73.50847577968364,76.02965394717727,76.33942036833575,37.75274476902634,72.18009353629652,80.19956356398048,78.77657285136797,35.922118399289,67.8612056518371,HI,nor_eu
33,Russian Federation,34,79.2,65.72097895618701,75.98451410861259,63.3540993344591,52.837973274826126,54.72100083140962,69.7977257664619,49.50578804361333,35.49408822526225,54.9340198871827,63.38642650441438,56.97357187341726,38.15213414125732,58.48037143105366,65.31851197632903,53.49568360183987,30.65691069622304,57.85392234915394,UMI,east_eu
34,Ukraine,35,78.53999999999999,76.3297865398744,71.33299786016202,61.55700295768218,54.99879987569958,63.15728895409432,66.04145033908057,36.60068868216724,25.432354218750593,68.78992898961458,61.25034482292627,49.89329714860102,46.514199948406485,60.1311688783922,62.61170050389959,53.68401054285787,42.73882526612476,57.556018963463664,LMI,east_eu
35,Armenia,36,78.38274951471789,61.1161004733947,70.34234655492136,51.686164496717616,59.41823522728604,63.71313609698368,68.05603141605653,37.54681155016389,26.379866490448524,64.69335075625052,63.116489357926184,56.575874136049116,52.85758795521298,59.529040593705496,62.00501352868614,70.1676330055519,18.491042521659733,56.70348032194482,LMI,west_as
36,Kuwait,37,77.88,61.8603171317562,77.47271066538094,55.48206790305114,50.07152439468968,99.3529411764706,72.56913007074027,46.25648827678188,30.85402487847116,62.1349692249967,46.4807331242105,56.184699109023676,27.835354950835715,44.15344592338784,64.69360756101007,74.9621570997946,21.646678764245717,57.99571764221566,HI,west_as
37,Qatar,38,77.88,59.0717636168647,87.35973566784605,53.93909436757934,50.039287080304916,72.20872973090658,69.30320607417751,53.25685609540104,54.535304750105674,64.72368257884972,61.19799712641228,74.16924743184411,9.928571428571429,64.78192270686313,55.97730272392837,93.53543296599628,39.93057908001371,64.22495940409117,HI,west_as
38,Vietnam,39,77.2444594328932,71.36142181365517,69.05500546185154,63.59580554203129,50.98238915905838,57.446074209393146,57.50020615987374,49.47730042992574,27.14015163442942,57.29013694063749,46.472763031692615,47.89289721652062,74.91317788504828,38.46398981840588,50.96023009114257,64.60628223538241,27.089943374684264,55.09502298242455,LMI,southeast_as
39,Oman,40,77.22,66.98916349587024,76.7843603662815,56.26684682233199,48.57853891746957,62.85430068626897,68.71134260227478,42.22303561967423,36.43756000130725,58.21858846197753,51.46097721689396,55.637803212946444,30.829101029125372,57.67524903436483,60.44225208110714,75.94965840915359,24.72982283104805,57.69005925363661,HI,west_as
40,Italy,41,75.9,74.17767375044438,83.94575549017013,64.90542105201781,57.81041485823464,67.26162009629637,69.59290874756418,35.13062370272528,43.31024318427792,60.772398726471245,69.06249132744792,71.44515874857174,46.018941379724836,47.72350806934337,69.62929185339755,65.08275001405273,41.427673386243384,62.267859620098996,HI,sou_eu
