,Country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
0,Iceland,1,98.86731321652553,71.28767072695707,91.82631982200718,69.44088588388941,66.46292107979652,66.3833862819043,99.75,78.40974467666089,50.38272085540359,95.0283297401407,68.24717437770245,60.12667414469667,73.80127609767634,52.75932699770959,64.957813279305,93.97307303437675,49.5451433491181,73.62937835347999,HI,nor_eu
1,Czech Republic,2,98.20710707254837,69.7371384085165,82.0190068371048,65.03199785017485,51.78662524441315,77.22381766251236,75.42317388700486,72.217957441494,49.38416296978987,91.97578542618434,89.95117657670687,82.57264317116801,70.94379960362004,62.182255844405915,95.22437227053601,82.78655052411808,36.86812120440462,72.5123852730578,HI,east_eu
2,Denmark,3,97.74584357749363,78.95152606825677,89.60658608506026,72.46800546253397,70.85718646666967,81.57003431575971,82.98438947794301,71.65871184351582,66.50579430801272,95.75542085736983,71.33596777584631,66.79552067355755,94.37303114324223,62.62908351934624,96.2614497634042,94.53731629393963,56.23489126434966,79.09310934540245,HI,nor_eu
3,Finland,4,96.53322992064203,67.90168543505563,89.86852768179449,82.12268226912741,62.97276298886931,84.28479376111535,83.49311568601435,69.14831526517328,61.03350236436522,92.29327831612393,80.06271601333579,74.17926291222209,82.52464875368479,66.41661253607643,88.70026005926272,96.00690413811674,45.66970436823194,77.84262029695792,HI,nor_eu
4,Hungary,5,91.6305450574593,74.58289036957746,77.92830239709933,54.145590884923564,52.80066967913544,74.73807137792359,75.98516407989952,65.93795524113227,43.972074998812616,85.64185309053697,78.64227184987304,83.69588749195123,73.22333761707542,68.18528243781255,91.01354314753448,78.47419628040419,33.67459435578166,69.440597911859,HI,east_eu
5,France,6,91.61022055652238,78.69080726359817,86.40277652702453,68.72597526976394,60.016009903056265,78.14867158371383,76.95316637006056,60.5610606030512,54.37326717110659,88.01868030826567,86.42534826195575,75.74269832971045,74.96694811925785,73.21592378412798,85.02011484207881,83.94222423609378,43.49631715097538,74.03077487513984,HI,wes_eu
6,Netherlands,7,91.10788726965178,75.90228214506136,89.32173947211064,76.9752710497766,60.081073100443724,82.35195507931594,74.86379607275087,75.76246025023408,56.83024753860525,93.04664452814076,85.47747410183719,74.54432492911576,86.8893322888401,55.92771132297503,92.73373477281113,91.03247589293612,43.55988081038583,76.80796161800322,HI,wes_eu
7,Norway,8,90.78068024295465,67.60720505916213,93.11052666983724,75.37637832970853,70.20812215220336,70.27975053810486,87.75803200056262,72.74253286893631,53.81322575362801,95.67573165429015,82.3810354141246,64.66154166248812,75.40977487201562,72.36238252739507,78.10379127882007,93.20582114632381,69.76200285500006,77.06860607767067,HI,nor_eu
8,Slovenia,9,90.60265793748977,70.74960388341326,85.48863291681191,75.37539743612581,62.17827196460269,77.42636194039078,77.45156003751269,72.58903538545782,47.94339683803461,90.1906779661017,83.04039014285026,83.60511526464889,77.78915089520572,56.22803896103433,89.62938608790333,88.211916915995,46.36671607926561,74.58717173807432,HI,sou_eu
9,Slovak Republic,10,89.96519936590205,70.48457994213895,82.19963163934919,52.434627250291136,51.78862925006651,71.57429496667304,74.89337485771769,63.443551110876406,40.55498458255905,92.45862326062029,83.85393678025667,81.95410194119015,76.78882463974068,67.30427467387896,91.04589223513398,81.42967665535039,38.38770140891742,69.73196217590153,HI,east_eu
