Country,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_earlyedu,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg4_resil,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg5_unpaid,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_adjgini,sdg10_palma,sdg10_elder,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg12_mswrecycl,sdg13_co2pc,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofit
Togo,40.980000000000004,65.47,,16.1,27.5,6.7,8.4,2.097,1.139,0.851,,396.0,24.900000000000002,69.8,36.0,0.7000000000000001,23.6,250.0,29.2,60.6,89.09100000000001,44.6,85.0,43.0,4.179,,,,90.73100000000001,47.921,84.29,,,,,,,37.4,50.0,95.62,18.68,,,65.129,16.132,2.6,0.0,0.449,,,48.0,6.71,8.937,,-4.564,6.808,45.289,2.0380000000000003,0.034,,,12.36,31.997,2.232,0.0,0.011,0.272,,,,,48.93,,,35.731,44.671,32.36,,0.912,0.9,18.981,0.555,9.870000000000001,0.643,,0.304,0.047,0.0,,,21.36,,15.449,0.014,96.98400000000001,,0.854,0.712,0.023,9.0,64.6,50.579,,78.10000000000001,29.0,27.900000000000002,0.0,29.69,,6.359,,20.332,0.0,,
Zambia,53.61,72.09,,46.7,40.0,6.3,8.1,2.141,2.478,0.807,,213.0,23.5,57.800000000000004,346.0,2.97,17.900000000000002,127.0,24.7,62.300000000000004,120.11200000000001,63.300000000000004,90.0,53.0,3.307,,,,83.167,54.769,92.092,,,,,,,62.4,89.333,88.782,16.77,,,59.964,26.37,2.8000000000000003,4.2,0.8130000000000001,,,40.300000000000004,16.43,0.428,,-4.954,5.739,45.863,11.425,0.092,,,14.3,56.627,2.303,0.0,0.012,0.278,,,,,62.669000000000004,,,27.438,68.186,48.031,,0.932,0.9,11.579,1.113,8.734,0.586,,0.222,0.121,0.451,,,,,,0.019,48.361000000000004,57.366,0.879,0.293,0.46,5.3,32.4,44.081,4.138,11.3,34.0,40.6,0.0,36.38,,5.462,,16.851,0.0,,
Angola,21.03,42.85,,25.0,37.6,4.9,8.2,2.1310000000000002,0.905,0.935,,241.0,28.5,77.2,355.0,1.01,16.5,119.0,23.6,62.6,150.526,49.6,50.0,40.0,3.795,,,,78.024,20.739,77.431,,,,,,,29.8,62.5,94.22800000000001,30.0,,,55.843,49.877,1.9000000000000001,0.0,1.093,,,41.886,48.050000000000004,1.688,,-9.641,7.151,29.318,6.886,0.096,,,14.339,18.891000000000002,1.857,0.0,0.001,,,,,,45.075,,,32.389,57.966,32.206,,0.5730000000000001,3.3000000000000003,6.890000000000001,1.563,10.005,0.852,,1.268,0.134,88.315,,0.906,54.97,12.120000000000001,28.934,0.191,28.367,33.333,0.934,0.213,0.642,4.8,48.0,46.215,3.247,25.0,26.0,23.400000000000002,0.0,34.96,,5.121,,16.361,0.0,,
Guinea,22.19,54.410000000000004,,16.5,32.4,8.1,7.7,2.091,1.167,0.869,,576.0,31.1,100.8,176.0,0.52,22.400000000000002,243.0,28.2,59.800000000000004,135.294,62.7,45.0,37.0,4.768,,,,76.016,35.411,46.295,,,,,,,21.5,38.462,98.546,22.81,,,61.899,22.719,0.9,0.0,0.527,,,35.441,1.24,,,-0.391,7.796,23.486,4.296,0.032,,,18.0,23.832,1.556,0.0,0.002,0.0,,,,,38.331,,,26.062,64.959,37.644,,,0.6,16.647000000000002,0.401,21.891000000000002,0.197,,0.281,0.043000000000000003,0.0,,74.281,43.95,3.48,17.443,0.0,78.871,98.514,0.894,1.226,0.012,8.8,68.1,54.316,3.581,62.0,29.0,28.3,0.0,33.49,,3.218,,,0.0,,
"Yemen, Rep.",,,,38.9,46.5,16.3,17.1,2.1270000000000002,0.729,0.796,,164.0,27.0,55.0,48.0,0.04,30.6,194.0,21.5,65.3,60.352000000000004,44.7,64.0,42.0,3.0580000000000003,,,,84.166,53.105000000000004,77.0,,,,,,,37.7,43.182,8.222,0.33,,,63.473,59.053000000000004,168.3,0.0,1.607,,,79.2,64.93,1.981,,-15.779,,6.448,12.91,0.076,,,26.718,5.989,2.117,0.0,0.005,0.0,,,,,49.027,,,50.456,77.049,32.868,,1.2510000000000001,1.5,10.991,0.666,9.77,0.388,,0.837,0.106,0.0,,30.814,53.550000000000004,0.081,8.24,0.002,31.079,7.692,0.882,,0.039,6.7,70.9,52.979,2.892,30.7,15.0,22.7,0.0,61.660000000000004,,6.7540000000000004,,,0.0,,
Malawi,66.51,87.41,,17.5,37.1,2.7,5.8,2.065,1.903,0.748,,349.0,22.400000000000002,49.7,181.0,2.2800000000000002,16.4,115.0,31.0,64.2,132.671,89.8,87.0,46.0,3.869,,,,97.649,21.558,72.936,,,,,,,73.9,80.392,88.58,22.92,,,68.83200000000001,26.226,17.5,0.0,0.425,,,12.700000000000001,2.5,,,-6.739,7.465,33.714,5.6530000000000005,0.115,,,13.782,27.208000000000002,2.176,0.0,0.013000000000000001,0.0,,,,,49.417,,,23.566,81.496,43.142,,1.095,0.5,8.195,0.423,5.282,0.364,,0.066,0.043000000000000003,0.77,,,,,,0.021,83.422,44.74,0.808,0.993,0.268,1.7,14.35,47.344,4.231,5.6000000000000005,31.0,39.300000000000004,0.0,29.36,,7.506,,18.112000000000002,0.0,,
Sierra Leone,37.93,70.27,,25.6,37.9,9.4,8.700000000000001,2.156,1.956,0.802,,1120.0,32.8,105.10000000000001,298.0,0.55,30.5,324.0,27.3,53.1,112.828,59.7,80.0,39.0,3.447,,,,98.11200000000001,51.017,66.649,,,,,,,44.7,63.636,98.712,12.33,,,60.807,15.653,0.5,0.0,0.455,,,23.400000000000002,0.99,,,-4.746,5.032,19.809,4.428,0.021,,,9.0,25.827,1.818,0.0,0.005,0.0,,,,,36.879,,,21.626,37.836,28.394000000000002,,0.515,0.5,20.836000000000002,0.457,11.969,0.163,,0.146,0.034,0.0,,57.585,43.24,2.48,29.583000000000002,0.001,68.784,72.465,0.911,1.953,0.023,1.7,30.1,49.341,,81.10000000000001,33.0,37.4,0.0,30.36,,4.907,,17.081,0.0,,
Haiti,23.47,48.28,,49.300000000000004,21.900000000000002,5.2,22.7,2.083,1.1260000000000001,0.9410000000000001,,480.0,26.0,64.8,176.0,0.6900000000000001,26.5,184.0,15.1,63.5,51.676,41.6,64.0,49.0,3.615,,,,,,82.994,,,,,,,43.1,65.152,87.09700000000001,2.54,,,65.467,34.704,13.4,0.0,0.28400000000000003,,,43.753,4.34,3.423,,-6.742,5.551,32.621,13.781,0.021,,,32.474000000000004,29.983,1.945,0.0,0.003,0.0,,,,,41.539,,,15.02,20.731,30.049,,1.03,,13.148,0.265,9.751,0.214,,0.258,0.038,0.0,,0.0,41.6,9.74,,0.003,10.452,0.0,0.719,0.428,0.005,9.5,66.8,49.49,2.386,84.8,18.0,24.400000000000002,0.0,29.0,,3.2760000000000002,,,0.0,,
Papua New Guinea,27.900000000000002,51.03,,,49.5,14.3,21.3,,4.817,0.917,,145.0,22.1,47.800000000000004,432.0,0.26,30.0,152.0,14.200000000000001,65.9,52.655,53.0,61.0,40.0,,,,,73.65,62.13,67.9,,,,,,,40.6,72.22200000000001,96.258,0.0,,,41.327,12.949,0.1,0.0,0.9420000000000001,,,54.427,13.43,,,-5.308,10.275,,2.459,0.059000000000000004,,,11.209,10.867,1.971,0.0,0.007,0.033,,,,,52.991,,,12.294,55.43,,,2.471,0.9,20.891000000000002,2.028,2.056,0.537,,0.927,0.152,,,1.8920000000000001,64.86,56.870000000000005,0.5640000000000001,0.029,7.523000000000001,,0.835,0.14100000000000001,0.033,10.0,38.300000000000004,,,,28.0,,0.0,24.7,,,,15.899000000000001,0.0,,
Mali,34.34,66.68,,6.3,30.400000000000002,13.5,8.6,2.216,1.526,0.762,,562.0,32.7,97.8,53.0,0.78,24.6,209.0,23.1,58.0,169.127,43.7,70.0,38.0,4.988,,,,58.941,29.698,50.135,,,,,,,35.0,56.667,75.803,9.52,,,78.261,39.335,8.0,0.0,0.265,,,43.09,0.96,,,-4.272,3.5660000000000003,35.417,7.224,0.034,,,13.0,30.28,2.303,0.0,0.005,0.293,,,,,36.953,,,38.527,81.60000000000001,46.02,,0.656,0.7000000000000001,9.501,0.334,30.463,0.225,,0.08600000000000001,0.035,0.0,,,,,,0.004,33.774,43.719,0.981,0.27,0.046,10.9,51.5,55.042,3.588,86.7,29.0,55.800000000000004,0.0,35.230000000000004,,4.303,,17.387,0.0,,
