Country,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_earlyedu,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg4_resil,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg5_unpaid,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_adjgini,sdg10_palma,sdg10_elder,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg12_mswrecycl,sdg13_co2pc,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofit
Niger,62.34,88.28,,16.5,42.2,10.3,5.5,2.148,0.542,0.919,,509.0,25.2,83.7,87.0,0.08,20.0,252.0,26.2,59.800000000000004,186.538,39.7,77.0,37.0,5.0040000000000004,,,,65.125,18.971,39.788000000000004,,,,,,,45.5,51.852000000000004,74.365,16.96,,,50.273,13.567,7.5,0.0,0.262,,,20.042,1.9100000000000001,3.947,,-6.216,6.705,15.523,0.47500000000000003,0.017,,,5.25,3.9330000000000003,2.001,0.0,0.002,0.0,,,,,34.263,,,94.054,82.879,66.706,,,0.4,7.61,0.294,33.549,0.305,,0.088,0.024,0.0,,,,,,0.001,46.325,45.323,0.935,0.0,0.024,4.4,53.85,60.305,,63.9,32.0,30.5,0.0,29.26,,5.597,,,0.0,,
"Congo, Dem. Rep.",74.22,91.33,,,42.6,8.1,6.7,2.037,0.77,0.91,,473.0,28.3,88.10000000000001,321.0,0.21,19.400000000000002,164.0,33.7,60.5,124.22,80.10000000000001,80.0,41.0,4.311,,,,,50.432,84.99,,,,,,,18.900000000000002,63.095,91.379,12.8,,,43.243,20.456,0.2,0.0,0.23900000000000002,,,19.094,4.0200000000000005,0.234,,-7.23,13.709,25.826,4.236,0.05,,,8.620000000000001,15.892,2.116,0.0,0.002,0.406,,,,,42.078,,,44.909,62.922000000000004,40.827,,1.055,,4.045,0.29,9.857,0.219,,0.044,0.028,,,,39.47,,,0.008,52.664,58.284,0.891,0.329,0.165,13.5,73.0,45.211,3.074,24.6,18.0,38.4,0.0,51.71,,2.593,,,0.0,,
Sudan,24.63,53.09,,20.1,38.2,16.3,,2.382,0.674,,,295.0,28.6,60.5,71.0,0.13,26.0,185.0,25.7,65.1,63.993,77.5,88.0,44.0,4.139,,,,60.005,57.542,73.0,,,,,,,30.1,76.19,34.839,30.5,,,60.267,36.575,118.7,0.0,0.013000000000000001,,,56.452,41.29,1.234,,-5.689,12.040000000000001,15.268,16.535,0.001,,,30.87,32.433,2.182,0.0,0.01,0.298,,,,,40.332,,,55.371,68.574,33.251,,0.539,1.3,0.049,0.015,57.024,0.007,,0.387,0.0,0.001,,87.488,45.02,39.230000000000004,2.0180000000000002,,24.998,0.0,0.931,0.029,,5.2,20.400000000000002,71.269,,67.3,16.0,24.900000000000002,0.0,72.45,,4.781,,9.452,0.0,,
Nigeria,47.57,76.94,,13.4,43.6,10.8,8.9,2.047,1.462,0.84,,917.0,36.0,119.9,219.0,0.65,22.5,307.0,21.400000000000002,55.2,107.33,40.300000000000004,57.0,42.0,5.252,,,,64.138,47.069,75.029,,,,,,,42.800000000000004,69.737,84.824,3.63,,,71.377,39.172000000000004,9.700000000000001,0.154,0.6950000000000001,,,54.4,4.91,2.8080000000000003,,-7.203,,39.667,8.096,0.044,,,42.0,30.676000000000002,2.56,34.25,0.029,0.219,,,,,56.06,,,71.798,14.604000000000001,64.849,,0.767,1.5,2.1590000000000003,0.601,10.665000000000001,0.258,,0.582,0.094,110.22200000000001,,,37.07,14.19,28.495,0.009000000000000001,79.623,59.075,0.874,0.47200000000000003,0.023,9.8,67.8,54.276,3.637,42.6,26.0,24.7,0.0,36.5,,,,4.977,0.0,,
Madagascar,75.68,91.98,,44.4,49.2,15.200000000000001,5.3,2.11,3.779,0.652,,335.0,20.6,53.6,233.0,0.24,22.900000000000002,160.0,28.6,66.1,109.59,44.300000000000004,62.0,28.0,4.339,,,,95.604,36.997,81.19800000000001,,,,,,,60.5,110.345,93.679,15.89,,,54.404,10.507,11.3,0.0,0.556,,,24.075,0.91,,,-5.402,7.5120000000000005,17.868000000000002,1.758,0.04,,,9.8,15.602,2.16,0.0,0.005,0.015,,,,,51.656,,,22.542,69.557,46.571,,1.057,0.5,5.87,0.396,6.636,0.214,,0.127,0.047,0.0,,18.261,57.74,17.44,13.564,0.001,24.587,57.402,0.785,1.294,0.039,7.7,56.1,43.44,3.202,83.0,24.0,22.900000000000002,0.0,27.76,,6.058,,11.366,0.0,,
Liberia,39.22,70.4,,37.2,32.1,5.6000000000000005,9.9,2.093,1.284,1.016,,661.0,24.5,70.9,308.0,0.39,17.6,170.0,35.9,62.9,135.962,61.1,84.0,39.0,5.121,,,,44.256,44.214,55.399,,,,,,,41.4,59.322,95.168,12.33,,,72.94800000000001,16.974,0.2,0.0,0.33,,,21.489,0.71,,,-9.07,7.414000000000001,35.714,2.814,0.022,,,7.984,11.697000000000001,1.9140000000000001,0.0,0.005,0.0,,,,,39.134,,,17.984,9.261000000000001,15.979000000000001,,0.623,,23.138,0.34800000000000003,1.3960000000000001,0.149,,0.23600000000000002,0.014,0.0,,,49.61,13.42,6.13,0.001,15.869,32.416000000000004,0.887,1.042,0.004,3.2,63.0,32.99,,24.6,28.0,20.8,0.0,31.490000000000002,,3.059,,15.677,48.956,,
Somalia,50.480000000000004,78.04,,,25.3,15.0,8.3,,0.547,1.112,,829.0,37.5,121.5,262.0,0.03,21.8,213.0,27.1,55.4,100.08500000000001,9.4,42.0,25.0,4.668,,,,,,,,,,,,,48.300000000000004,,25.786,24.36,,,52.436,38.336,24.5,0.0,0.039,,,32.947,2.34,,,,15.502,38.660000000000004,11.351,0.003,,,2.004,2.454,1.813,0.0,0.001,0.0,,,,,,,,32.035000000000004,75.361,61.991,,0.933,,10.153,0.043000000000000003,30.774,0.019,,0.046,0.002,0.0,,0.0,60.96,15.41,10.365,0.0,0.0,0.0,0.897,0.037,0.001,4.3,,85.392,,3.0,9.0,49.0,0.0,57.24,,,,0.0,0.0,,
Chad,38.97,64.14,,37.5,39.9,13.0,6.1000000000000005,2.257,0.8250000000000001,0.834,,1140.0,34.2,119.0,142.0,0.44,23.900000000000002,280.0,27.6,54.300000000000004,161.09,20.2,37.0,28.0,4.486,,,,73.153,14.996,30.792,,,,,,,20.2,36.111000000000004,83.305,15.43,,,38.701,8.342,4.3,0.0,0.152,,,10.876,3.13,,,-11.803,11.984,21.759,1.891,0.011,,,6.5,3.955,2.372,0.0,0.001,0.322,,,,,44.035000000000004,,,66.029,52.733000000000004,47.128,,1.052,0.7000000000000001,11.872,0.167,23.987000000000002,0.14100000000000001,,0.064,0.01,,,,,,,0.0,70.631,70.22200000000001,0.92,0.736,0.017,9.0,63.4,42.857,3.073,12.0,20.0,51.5,0.0,36.71,,4.727,,,0.0,,
South Sudan,78.34,94.01,,,31.1,22.7,,2.265,1.415,,,1150.0,40.0,98.60000000000001,146.0,1.56,19.8,165.0,29.900000000000002,58.6,62.04,19.400000000000002,49.0,31.0,2.817,,,,35.207,18.003,47.901,,,,,,,5.6000000000000005,75.47200000000001,96.789,28.46,,,40.676,11.322000000000001,4.2,0.0,0.059000000000000004,,,25.382,0.64,3.037,,,,8.57,12.244,0.004,,,7.977,5.996,,0.0,0.001,0.0,,,,,47.965,,,45.578,7.7780000000000005,17.661,,2.898,,0.201,0.073,49.996,0.028,,0.171,0.002,,,,,,,0.001,33.596000000000004,58.594,0.931,0.016,0.002,13.9,28.900000000000002,42.050000000000004,,35.4,12.0,,0.0,45.65,,,,,0.0,,
Central African Republic,80.01,91.48,,59.6,40.7,7.4,7.5,2.149,0.937,1.049,,829.0,41.2,116.5,540.0,1.2,23.1,212.0,33.6,53.0,129.074,40.0,47.0,33.0,3.476,,,,66.295,9.811,38.269,,,,,,,28.7,53.571,81.003,8.57,,,46.334,25.32,0.3,0.0,0.298,,,29.982,0.97,,,-4.989,22.251,13.746,3.68,0.018000000000000002,,,4.339,5.32,1.929,0.0,0.004,0.0,,,,,56.155,,,56.828,42.879,25.133,,1.546,0.5,108.32000000000001,0.33,197.75,0.20700000000000002,,0.079,0.021,0.0,,,,,,0.0,74.37,95.896,0.9430000000000001,0.049,0.045,19.8,70.10000000000001,52.125,,61.0,25.0,28.5,0.0,47.27,,1.968,,7.509,0.0,,
Andorra,,,,1.17,2.58,0.7,25.6,,,,,,1.4000000000000001,2.9,3.0,,,,7.6000000000000005,,,,99.0,,,,,,,,,,,,,,,,99.02,,46.43,,,100.0,100.0,,100.0,33.848,,,100.0,100.0,,,,,,,1.486,,,91.56700000000001,60.442,,0.0,0.047,,,,,,,,,10.308,99.0,,,1.738,,40.12,21.313,22.494,14.071,,6.156,2.736,0.709,,,,,,0.0,26.082,,0.917,,0.556,1.2,50.567,,,100.0,,,0.0,24.63,,8.35,,,69.049,,
Antigua and Barbuda,,,,1.17,2.58,0.7,18.900000000000002,2.418,1.585,1.308,,42.0,3.4,6.4,6.0,0.5700000000000001,22.6,30.0,7.9,75.0,42.782000000000004,100.0,95.0,73.0,,,,,95.69500000000001,98.649,,,,,,,,79.4,,,11.11,,,96.739,87.504,8.5,1.298,15.162,,,100.0,98.75,,,1.422,,,,0.917,,,76.0,50.301,,0.0,0.058,,,,,,,,,18.622,,,,3.306,12.0,1201.878,17.574,37.387,12.652000000000001,,5.9,1.98,0.0,,35.465,61.63,68.89,,0.853,14.867,,0.886,0.267,0.299,10.3,38.5,,,,,,0.0,,,5.7540000000000004,,,0.0,,
"Bahamas, The",,,,1.17,2.58,0.7,31.6,2.2960000000000003,8.818,1.1420000000000001,,70.0,5.4,10.200000000000001,14.0,0.55,15.5,20.0,13.8,75.7,30.001,99.60000000000001,89.0,75.0,,,,,74.227,92.243,,,,,,,,82.8,102.632,82.413,12.82,,,98.887,94.931,,1.3840000000000001,15.504,,,100.0,100.0,,,-2.833,,,10.36,0.47300000000000003,,,85.0,60.848,2.408,0.0,0.051000000000000004,,,,,,,,,17.368000000000002,,,,2.182,13.200000000000001,413.878,10.313,44.093,15.411,,6.601,2.633,0.0,,29.41,61.77,28.14,,1.655,24.148,,0.7010000000000001,0.417,0.387,30.900000000000002,43.0,,,,64.0,,0.0,,,4.115,,,100.0,,
Dominica,,,,6.2,,,27.900000000000002,2.204,1.723,1.095,,,28.3,35.7,6.4,0.28,,,10.9,,,96.0,84.0,,,,,,95.422,90.694,,,,,,,,,,,34.38,,,96.5,77.893,10.0,0.9560000000000001,,,,100.0,90.60000000000001,,,-5.051,,,,,,,69.62,93.909,,0.0,0.176,,,,,,,,,19.493000000000002,,,,0.6890000000000001,7.7,,,,,,1.987,,0.0,,0.0,58.9,,92.133,,29.522000000000002,0.099,0.67,4.257,,25.7,30.35,,,,55.0,,0.0,,,6.96,,26.286,0.0,,
Eritrea,,,,,50.300000000000004,15.3,5.0,2.101,0.643,1.034,,480.0,18.400000000000002,41.9,89.0,0.15,23.900000000000002,174.0,25.3,65.0,52.553000000000004,34.1,95.0,38.0,,,,,51.455,47.207,93.272,,,,,,,21.0,,85.21000000000001,22.0,,,51.85,11.94,11.200000000000001,0.0,0.324,,,48.424,16.32,1.58,,,93.029,,5.144,0.02,,,1.309,0.0,1.863,0.0,0.006,0.0,,,,,,,,48.03,69.0,,,0.9580000000000001,0.6,37.991,0.333,27.990000000000002,0.151,,0.176,0.026000000000000002,0.0,,0.0,54.01,10.65,,0.0,13.337,0.026000000000000002,0.905,,0.005,8.0,,,,,23.0,,0.0,80.26,,2.7600000000000002,,,0.0,,
"Micronesia, Fed. Sts.",,,,,,,45.800000000000004,,1.661,1.11,,88.0,16.0,30.8,108.0,,26.1,152.0,1.9000000000000001,69.60000000000001,13.924,100.0,73.0,47.0,,,,,85.45700000000001,,,,,,,,,,,,0.0,,,78.566,88.309,,0.107,,,,80.757,11.97,,,-5.708,,,,,,,35.304,0.0,,0.0,0.007,,,,,,45.661,,,11.283,,,,0.195,1.7,,,,,,0.28600000000000003,,0.0,,1.601,63.68,94.39,,,0.026000000000000002,,0.681,0.0,,4.7,17.7,,,,,,0.0,,,15.684000000000001,,44.689,0.0,,
Guinea-Bissau,52.18,75.59,,28.0,27.6,6.0,9.5,2.106,1.564,0.974,,667.0,36.6,81.5,361.0,1.43,20.0,215.0,31.1,59.800000000000004,104.82300000000001,45.0,86.0,40.0,,,,,71.253,36.792,60.402,,,,,,,55.7,,85.49,13.73,,,66.634,20.538,1.5,0.0,,,,26.047,1.52,,,-4.232,7.457,,2.466,,,,3.931,17.722,1.78,0.0,0.008,0.0,,,,,55.113,,,29.775000000000002,35.56,,,0.9590000000000001,0.5,,,,,,0.20500000000000002,,0.0,,53.785000000000004,56.09,54.07,1.154,,52.596000000000004,,0.96,0.645,,1.1,55.5,,,23.7,18.0,51.1,0.0,30.95,,3.986,,12.661,0.0,,
Equatorial Guinea,,,,,26.2,3.1,8.0,,,0.99,,301.0,29.900000000000002,85.3,201.0,4.21,22.0,178.0,24.6,59.5,155.622,68.3,25.0,45.0,,,,,43.483000000000004,24.197,97.967,,,,,,,20.7,54.167,82.07900000000001,21.0,,,64.666,66.313,0.2,1.25,,,,67.184,34.39,,,-12.777000000000001,6.364,,6.433,,,,26.240000000000002,0.14100000000000001,1.875,0.0,0.002,,,,,,,,,53.241,48.115,,,0.5740000000000001,,,,,,,4.841,,,,100.0,57.5,13.780000000000001,23.16,,99.997,,0.8130000000000001,0.20700000000000002,,2.3000000000000003,,,,53.5,16.0,27.8,0.0,58.35,,,,17.229,0.0,,
Grenada,,,,,,,21.3,2.303,1.006,0.978,,25.0,9.9,15.200000000000001,2.1,0.25,21.400000000000002,45.0,9.3,73.4,29.177,99.3,84.0,72.0,,,,,95.866,104.775,99.2,,,,,,,79.7,,,46.67,,,95.629,91.494,7.1000000000000005,0.9380000000000001,,,,94.696,96.58,,,-0.163,,,,,,,59.072,32.92,,0.0,0.41400000000000003,,,,,,,,,22.723,,,,2.059,7.8,,,,,,2.291,,0.0,,52.226,59.910000000000004,,,,34.464,,0.763,0.20500000000000002,,11.1,19.85,,,,53.0,,0.0,,,6.182,,20.411,0.0,,
Kiribati,,,,2.7,,,46.0,2.2760000000000002,,0.977,,92.0,22.8,52.5,349.0,,28.400000000000002,140.0,4.4,66.1,16.177,98.3,84.0,41.0,,,,,94.693,94.556,,,,,,,,35.800000000000004,,,8.89,,,71.616,47.803000000000004,,0.01,,,,98.61500000000001,5.5200000000000005,,,-5.515,,,,,,,14.582,1.456,,0.0,0.005,,,,,,36.956,,,10.641,,,,1.5290000000000001,0.8,,,,,,0.748,,,,40.234,28.150000000000002,3.5540000000000003,,,32.013,,0.756,,,7.5,5.4,,,93.5,,,0.0,,,23.862000000000002,,100.483,0.0,,
St. Kitts and Nevis,,,,1.17,2.58,0.7,22.900000000000002,2.363,,1.205,,,7.9,12.0,0.0,0.25,,,,,,100.0,96.0,,,,,,93.785,111.154,,,,,,,,,,,20.0,,,98.968,91.60900000000001,51.300000000000004,0.61,,,,100.0,100.0,,,-2.201,,,,,,,80.71000000000001,69.92,,0.0,0.487,,,,,,,,,,,,,5.243,12.1,,,,,,4.631,,0.0,,19.468,56.56,,,,29.201,,0.73,0.026000000000000002,,34.2,30.5,,,,,,0.0,,,4.724,,,0.0,,
Libya,,,,,21.0,6.5,32.5,2.19,0.767,0.875,,72.0,6.4,12.0,40.0,0.07,20.1,72.0,26.1,71.9,5.769,99.9,97.0,64.0,5.494,,,,,,99.60000000000001,,,,,,,24.0,111.111,32.602000000000004,15.96,,,98.529,100.0,822.9,9.6,5.04,,,70.148,,1.201,,5.11,,65.668,18.563,0.139,,,21.759,35.756,2.249,0.0,0.024,,,,,,,,,54.255,,45.688,,1.135,11.0,42.449,3.138,19.719,1.889,,7.856,0.371,,,0.31,56.44,67.47,19.852,0.006,4.6000000000000005,,0.969,,0.065,2.5,86.65,54.075,,,18.0,,0.0,55.77,,,,,0.0,,
St. Lucia,4.79,10.38,,,2.5,3.7,19.7,2.365,,1.25,,117.0,12.4,16.6,3.2,0.31,18.8,30.0,35.4,75.60000000000001,40.536,98.7,86.0,68.0,,,,,95.398,86.22,,,,,,,,72.4,107.31700000000001,80.196,16.67,,,98.162,88.35300000000001,14.3,0.875,,,,98.76,97.23,,,-2.169,,,20.706,,,,50.815,42.511,,0.0,0.021,,,,,,51.341,,,22.401,99.0,,,6.337,9.3,,,,,,2.382,,0.0,,15.489,52.84,,,,46.046,,0.84,0.101,,29.6,51.800000000000004,,,92.0,55.0,3.9,0.0,,,7.968,,21.35,0.0,,
Liechtenstein,,,,1.17,2.58,0.7,,,,,,,,,,,,,,,,,,,,,,,92.12,86.024,,,,,,,,,,,12.0,,,100.0,99.95,,,25.467000000000002,,,100.0,,,,,,,,1.792,,,98.10000000000001,129.963,,0.0,0.802,,,,,,,,,,,,,16.219,,85.693,27.852,42.181,12.029,,3.677,0.969,,,,,,,0.0,75.82000000000001,,0.993,,0.418,2.7,24.733,,,100.0,,,0.0,20.490000000000002,,,0.5,,69.508,,
Monaco,,,,1.17,2.58,0.7,,,,,,,1.7,3.2,0.0,,,,0.0,,,,87.0,,,,,,,,,,,,,,,,,,33.33,,,100.0,100.0,,100.0,28.127,,,100.0,100.0,,,,,,,2.032,,,97.053,84.148,,0.0,1.166,0.038,,,,,,,,,99.0,,,3.24,,109.494,30.906000000000002,47.972,13.769,,1.75,1.057,,,,19.56,,,0.0,,,0.759,,0.43,2.9,35.5,,,100.0,,,0.0,,,2.763,,,67.558,,
Marshall Islands,,,,,,,52.9,,,1.344,,,15.5,33.1,434.0,,,,5.7,,,90.10000000000001,81.0,,,,,,73.151,109.47500000000001,98.459,,,,,,,80.5,97.321,,6.0600000000000005,,,88.486,83.494,,0.0,,,,94.755,65.35,,,-3.305,,,,,,,38.701,0.0,,0.0,0.04,,,,,,,,,10.241,13.003,,,0.5760000000000001,,,,,,,2.4290000000000003,,,,12.32,36.300000000000004,1.53,,,15.043000000000001,,0.835,,,,8.5,,,83.8,,,0.0,,,22.485,,32.227000000000004,0.0,,
Nauru,,,,,24.0,1.0,61.0,,,0.966,,,19.900000000000002,31.8,54.0,,,,,,,97.4,90.0,,,,,,93.699,73.301,,,,,,,,42.5,,,10.53,,,99.485,65.596,,0.854,,,,99.553,91.33,,,2.3930000000000002,,,,,,,57.0,37.832,,0.0,0.0,,,,,,,,,,52.82,,,1.5,,,,,,,5.521,,0.0,,0.0,24.150000000000002,13.33,,,0.0,,0.769,,,,,,,95.9,,,0.0,,,,,96.815,,,
Palau,,,,1.17,2.58,0.7,55.300000000000004,,,,,,9.4,17.900000000000002,109.0,,,,4.78,,,100.0,90.0,,,,,,94.917,108.52,98.664,,,,,,,,,,12.5,,,100.0,100.0,,40.0,,,,100.0,86.9,,,-4.146,,,,,,,26.97,,,0.0,0.363,,,,,,,,,,99.0,,,1.471,9.3,,,,,,17.912,,,,,71.97,4.11,,,,,0.724,0.025,,3.1,4.1,,,,,,0.0,,,11.183,,,0.0,,
"Korea, Dem. Rep.",,,,47.800000000000004,27.900000000000002,4.0,6.8,2.097,4.048,0.492,,89.0,9.700000000000001,18.2,513.0,,25.6,207.0,20.8,71.9,0.28300000000000003,100.0,97.0,71.0,,,,,94.028,,100.0,,,,,,,89.8,,85.068,17.61,,,94.512,83.158,27.7,0.0,0.231,,,43.871,10.8,1.219,,,104.561,,2.74,0.017,,,0.0,14.982000000000001,,0.0,0.003,0.0,,,,,,,,32.007,76.037,,,,,24.537,0.126,5.489,0.075,,1.7810000000000001,0.019,,,0.0,53.6,21.824,30.005,0.0,11.616,0.0,0.898,0.055,0.001,4.4,,,,100.0,17.0,,0.0,83.4,,,,,0.0,,
Solomon Islands,23.04,52.870000000000005,,8.9,31.6,7.9,22.5,2.111,1.622,1.247,,104.0,8.2,20.0,74.0,,23.8,137.0,17.400000000000002,71.10000000000001,78.003,86.2,85.0,47.0,,,,,67.473,71.415,,,,,,,,38.0,,77.70700000000001,6.12,,,67.776,33.528,,0.0,,,,62.896,8.45,,,-5.538,,,0.5760000000000001,,,,11.924,17.5,2.207,0.0,0.02,,,,,,42.017,,,11.879,70.495,,,3.331,0.7000000000000001,,,,,,0.388,,0.0,,9.438,72.62,28.69,,,8.99,,0.763,0.312,,3.8000000000000003,48.2,,,88.0,42.0,47.800000000000004,0.0,,,14.120000000000001,,33.797000000000004,0.0,,
San Marino,,,,1.17,2.58,0.7,,,,,,,0.9,2.0,0.0,,,,0.0,,,,89.0,,,,,,93.892,103.247,100.0,,,,,,,,,,31.67,,,100.0,100.0,,6.187,177.339,,,100.0,100.0,,,,,,,9.978,,,60.182,130.67600000000002,,0.0,0.32,,,,,,,,,,,,,1.442,,251.151,145.608,148.116,74.571,,5.197,21.336000000000002,,,,,,,6.4750000000000005,,,0.992,,59.116,3.6,83.3,,,100.0,,,0.0,,,7.888,,,61.512,,
Seychelles,,,,1.17,7.9,4.3,14.0,2.407,,1.234,,53.0,8.8,14.5,18.0,,21.2,49.0,15.9,73.3,62.050000000000004,99.0,96.0,71.0,,,,,92.21000000000001,108.44800000000001,99.07000000000001,,,,,,,,,,21.21,,,96.249,100.0,,1.674,34.614,,,100.0,90.36,,,0.262,,,,1.813,,,58.77,80.516,,0.0,0.098,0.222,,,,,49.058,,,20.179000000000002,,,,2.436,11.5,1155.809,30.134,35.848,11.476,,4.1690000000000005,2.3770000000000002,0.0,,22.93,78.44,29.67,,0.0,19.19,,0.662,,0.453,12.700000000000001,15.1,,4.7170000000000005,,66.0,,0.0,29.41,,8.196,,,68.108,,
Timor-Leste,28.13,69.21000000000001,,24.900000000000002,50.2,11.0,3.8000000000000003,2.133,2.509,0.896,,142.0,20.400000000000002,45.800000000000004,498.0,,19.900000000000002,140.0,12.700000000000001,68.60000000000001,33.785000000000004,56.7,77.0,52.0,,,,,92.31,90.861,83.539,,,,,,,37.4,67.925,47.357,38.46,,,78.34400000000001,53.519,28.3,0.3,,,,80.381,6.92,,,-8.47,7.66,,4.548,,,,27.493000000000002,31.613,,0.0,0.011,,,,,,30.911,,,19.257,82.669,,,0.432,3.0,,,,,,0.402,,,,18.794,53.29,10.02,,,33.555,,0.882,0.074,,3.9,23.8,,,60.4,38.0,4.2,0.0,29.93,,7.5680000000000005,,38.44,0.0,,
Tonga,0.08,4.22,,,8.1,5.2,48.2,,,1.038,,52.0,6.5,15.6,10.0,,23.3,73.0,16.8,73.4,14.662,95.5,81.0,58.0,,,,,85.941,78.745,99.441,,,,,,,47.9,100.893,61.024,7.41,,,99.907,93.44500000000001,,0.275,,,,97.968,59.17,,,-3.662,,,1.117,,,,41.249,65.142,,0.0,0.047,,,,,,40.109,,,10.785,99.0,,,1.873,2.4,,,,,,1.451,,0.0,,5.922,66.88,39.81,,,9.306000000000001,,0.723,,,1.0,7.4,,,93.4,,,0.0,25.41,,6.279,,25.596,0.0,,
Tuvalu,,,,,10.0,3.3000000000000003,51.6,,,1.343,,,15.700000000000001,24.400000000000002,270.0,,,,,,,93.10000000000001,88.0,,,,,,76.248,61.062000000000005,,,,,,,,41.0,,,6.25,,,99.272,84.078,,0.14200000000000002,,,,100.0,50.42,,,-3.715,,,,,,,49.318,0.0,,0.0,0.129,,,,,,39.447,,,,99.0,,,1.552,1.2,,,,,,1.188,,0.0,,,52.36,3.79,,,,,0.839,,,18.6,0.0,,,49.9,,,0.0,,,,,,0.0,,
St. Vincent and the Grenadines,,,,5.7,,,23.7,2.269,26.11,0.885,,68.0,9.700000000000001,16.4,6.3,0.89,23.2,48.0,8.2,72.0,49.02,99.0,97.0,71.0,,,,,93.584,92.044,,,,,,,,81.0,,72.578,13.040000000000001,,,95.145,87.184,11.200000000000001,0.745,,,,100.0,95.98,,,-2.645,,,18.881,,,,22.394000000000002,53.947,,0.0,0.011,0.12,,,,,,,,22.201,,,,1.5030000000000001,8.3,,,,,,1.994,,0.0,,26.328,59.31,,80.237,,42.831,,0.771,0.043000000000000003,,36.5,24.3,,,,59.0,,0.0,,,8.496,,27.239,0.0,,
Samoa,0.2,4.09,,2.7,4.7,3.7,47.300000000000004,2.271,,0.991,,43.0,8.3,15.8,6.4,,20.6,85.0,11.3,75.10000000000001,23.886,82.5,31.0,58.0,,,,,94.413,105.468,99.123,,,,,,,39.4,,61.323,10.0,,,97.383,98.168,,0.295,4.698,,,96.8,32.29,,,-3.217,,,8.359,0.317,,,33.611000000000004,26.156,,0.0,0.056,,,,,,43.267,,,11.548,90.069,,,2.081,2.6,555.129,6.801,15.83,2.543,,1.387,0.312,0.0,,11.855,92.17,30.59,,0.0,37.082,,0.805,,0.397,3.1,6.5,,,58.6,,,0.0,18.25,,8.306000000000001,,33.071,0.0,,
